"order_id","quantity","order_date","flag_quantity","year_of_order","month_of_order","customer_id","name","email","gender","birthdate","type_customer","product_id","product_name","category","price","cost","new column","profit_margin","cost_ratio","price_range","payment_method","payment_status","payment_date","payment_group","pay_year","shipping_id","shipping_method","shipping_status","shipping_date","shipping_type_group"
"ORD10012",3,"2025-06-22","Valid",2025,6,"CUST1393","Robert Montgomery","nancy86@gmail.com","Male","1985-06-01","New","PROD1011","Cost","Electronics",99.32,66.46,"Electronics",0.3308497784937576,0.6691502215062425,"High Price","Credit Card","Paid","2025-06-25","Card",2025,"SHP9012","Standard","Delivered","2025-06-27","Normal"
"ORD10013",5,"2023-03-18","Valid",2023,3,"CUST1066","Tracy House","williamsmelvin@weaver.com","Female","1978-03-31","Loyal","PROD1016","Word","Books",99.32,66.46,"Books",0.3308497784937576,0.6691502215062425,"High Price","Bank Transfer","Paid","2023-03-19","Bank",2023,"SHP9013","Express","Failed","2023-03-23","Fast"
"ORD10014",4,"2023-08-17","Valid",2023,8,"CUST1232","Christopher Parker","youngtoni@gmail.com","Other","2001-05-25","VIP","PROD1038","Face","Clothing",99.32,66.46,"Clothing",0.3308497784937576,0.6691502215062425,"High Price","Bank Transfer","Paid","2023-08-20","Bank",2023,"SHP9014","Standard","Delivered","2023-08-21","Normal"
"ORD10015",5,"2023-10-24","Valid",2023,10,"CUST1108","Evelyn Galvan","davisjesse@gmail.com","Male","2004-11-25","New","PROD1008","Page","Groceries",99.32,66.46,"Groceries",0.3308497784937576,0.6691502215062425,"High Price","Bank Transfer","Pending","2023-10-26","Bank",2023,"SHP9015","Same Day","Delivered","2023-10-25","Fast"
"ORD10016",3,"2024-05-24","Valid",2024,5,"CUST1145","Joyce Solis","lawrenceallen@white.com","Other","1973-01-02","VIP","PROD1034","Center","Beauty",99.32,66.46,"Beauty",0.3308497784937576,0.6691502215062425,"High Price","Cash","Paid","2024-05-26","Digital",2024,"SHP9016","Same Day","Delivered","2024-05-25","Fast"
"ORD10017",4,"2024-12-15","Valid",2024,12,"CUST1110","Richard Rodriguez","whenry@hotmail.com","Other","1968-12-17","VIP","PROD1012","Lose","Beauty",99.32,66.46,"Beauty",0.3308497784937576,0.6691502215062425,"High Price","Cash","Failed","2024-12-15","Digital",2024,"SHP9017","Express","Delivered","2024-12-21","Fast"
"ORD10018",1,"2024-07-26","Valid",2024,7,"CUST1227","Michael Warner","janet69@rogers.com","Other","1991-05-20","VIP","PROD1014","Particular","Books",99.32,66.46,"Books",0.3308497784937576,0.6691502215062425,"High Price","Bank Transfer","Pending","2024-07-28","Bank",2024,"SHP9018","Express","Delivered","2024-07-28","Fast"
"ORD10019",5,"2024-06-21","Valid",2024,6,"CUST1110","Richard Rodriguez","whenry@hotmail.com","Other","1968-12-17","VIP","PROD1017","Also","Groceries",99.32,66.46,"Groceries",0.3308497784937576,0.6691502215062425,"High Price","Bank Transfer","Pending","2024-06-22","Bank",2024,"SHP9019","Same Day","Cancelled","2024-06-25","Fast"
"ORD10020",5,"2024-08-05","Valid",2024,8,"CUST1469","Jeanette Harrison","nathandavis@gmail.com","Other","1984-08-11","VIP","PROD1032","Final","Beauty",99.32,66.46,"Beauty",0.3308497784937576,0.6691502215062425,"High Price","Bank Transfer","Paid","2024-08-05","Bank",2024,"SHP9020","Express","Delivered","2024-08-08","Fast"
"ORD10021",4,"2024-09-06","Valid",2024,9,"CUST1033","Nathan Maldonado","terickson@yahoo.com","Female","1984-02-10","Regular","PROD1005","Role","Beauty",99.32,66.46,"Beauty",0.3308497784937576,0.6691502215062425,"High Price","E-wallet","Paid","2024-09-07","Digital",2024,"SHP9021","Express","Delivered","2024-09-10","Fast"
"ORD10022",1,"2023-11-22","Valid",2023,11,"CUST1110","Richard Rodriguez","whenry@hotmail.com","Other","1968-12-17","VIP","PROD1026","Author","Books",99.32,66.46,"Books",0.3308497784937576,0.6691502215062425,"High Price","Bank Transfer","Paid","2023-11-23","Bank",2023,"SHP9022","Standard","Delivered","2023-11-28","Normal"
"ORD10023",1,"2023-12-29","Valid",2023,12,"CUST1263","Diane Evans","htaylor@hotmail.com","Other","1964-11-18","VIP","PROD1022","Home","Electronics",99.32,66.46,"Electronics",0.3308497784937576,0.6691502215062425,"High Price","Credit Card","Paid","2023-12-31","Card",2023,"SHP9023","Same Day","Delivered","2023-12-31","Fast"
"ORD10024",4,"2024-10-30","Valid",2024,10,"CUST1423","Mary Escobar","karenanderson@hotmail.com","Male","1991-12-29","Loyal","PROD1026","Author","Books",99.32,66.46,"Books",0.3308497784937576,0.6691502215062425,"High Price","E-wallet","Paid","2024-11-01","Digital",2024,"SHP9024","Standard","Delivered","2024-11-01","Normal"
"ORD10025",2,"2025-05-24","Valid",2025,5,"CUST1368","Renee Bruce","xgriffin@yahoo.com","Female","1974-07-30","Regular","PROD1033","Market","Books",99.32,66.46,"Books",0.3308497784937576,0.6691502215062425,"High Price","E-wallet","Paid","2025-05-25","Digital",2025,"SHP9025","Express","Delivered","2025-05-26","Fast"
"ORD10026",5,"2023-12-25","Valid",2023,12,"CUST1235","Kathryn Snyder","amy17@hotmail.com","Female","1963-09-30","VIP","PROD1045","Determine","Books",99.32,66.46,"Books",0.3308497784937576,0.6691502215062425,"High Price","Cash","Paid","2023-12-27","Digital",2023,"SHP9026","Standard","Delivered","2023-12-26","Normal"
"ORD10027",5,"2024-12-06","Valid",2024,12,"CUST1082","Michael Evans","igrant@yahoo.com","Female","1957-08-06","Regular","PROD1037","Trade","Books",99.32,66.46,"Books",0.3308497784937576,0.6691502215062425,"High Price","Credit Card","Paid","2024-12-08","Card",2024,"SHP9027","Same Day","Delivered","2024-12-09","Fast"
"ORD10028",3,"2025-02-25","Valid",2025,2,"CUST1041","Fred Smith","joshuaevans@wise-bush.info","Other","1968-01-10","VIP","PROD1013","So","Books",99.32,66.46,"Books",0.3308497784937576,0.6691502215062425,"High Price","Cash","Paid","2025-02-27","Digital",2025,"SHP9028","Standard","Delivered","2025-02-27","Normal"
"ORD10029",4,"2023-11-20","Valid",2023,11,"CUST1424","Felicia Aguilar","cayers@hotmail.com","Male","1980-06-11","Regular","PROD1035","Campaign","Books",99.32,66.46,"Books",0.3308497784937576,0.6691502215062425,"High Price","Cash","Paid","2023-11-23","Digital",2023,"SHP9029","Standard","Delivered","2023-11-25","Normal"
"ORD10030",3,"2024-11-28","Valid",2024,11,"CUST1100","Sandra Aguilar","laura15@yahoo.com","Other","2001-10-03","Regular","PROD1007","Physical","Groceries",99.32,66.46,"Groceries",0.3308497784937576,0.6691502215062425,"High Price","Credit Card","Paid","2024-11-29","Card",2024,"SHP9030","Express","Delivered","2024-11-29","Fast"
"ORD10031",3,"2023-11-22","Valid",2023,11,"CUST1005","Connie Lawrence","jenniferho@hotmail.com","Male","1957-12-24","VIP","PROD1034","Center","Beauty",99.32,66.46,"Beauty",0.3308497784937576,0.6691502215062425,"High Price","Cash","Paid","2023-11-26","Digital",2023,"SHP9031","Same Day","Delivered","2023-11-25","Fast"
"ORD10032",1,"2024-09-16","Valid",2024,9,"CUST1179","Robert Oconnell","matthewsalexander@williams.biz","Male","1965-03-24","Loyal","PROD1018","Better","Clothing",99.32,66.46,"Clothing",0.3308497784937576,0.6691502215062425,"High Price","Credit Card","Paid","2024-09-17","Card",2024,"SHP9032","Express","Cancelled","2024-09-21","Fast"
"ORD10033",5,"2025-04-04","Valid",2025,4,"CUST1281","Tammie Bright","destiny35@garner.biz","Other","1956-04-26","New","PROD1029","Threat","Electronics",99.32,66.46,"Electronics",0.3308497784937576,0.6691502215062425,"High Price","Credit Card","Paid","2025-04-04","Card",2025,"SHP9033","Express","Delivered","2025-04-07","Fast"
"ORD10034",3,"2023-06-14","Valid",2023,6,"CUST1319","Connie Brown","diamondbryant@yahoo.com","Female","1976-08-26","Loyal","PROD1013","So","Books",99.32,66.46,"Books",0.3308497784937576,0.6691502215062425,"High Price","Cash","Paid","2023-06-16","Digital",2023,"SHP9034","Same Day","Delivered","2023-06-20","Fast"
"ORD10035",1,"2024-07-26","Valid",2024,7,"CUST1225","Benjamin Smith","samantharichard@yahoo.com","Female","1963-12-22","VIP","PROD1019","Special","Electronics",99.32,66.46,"Electronics",0.3308497784937576,0.6691502215062425,"High Price","Bank Transfer","Paid","2024-07-28","Bank",2024,"SHP9035","Standard","Delivered","2024-07-29","Normal"
"ORD10036",4,"2024-08-26","Valid",2024,8,"CUST1442","Robert Harrison","ebonyshepard@brady.com","Female","2006-11-06","VIP","PROD1048","Boy","Electronics",99.32,66.46,"Electronics",0.3308497784937576,0.6691502215062425,"High Price","Cash","Paid","2024-08-30","Digital",2024,"SHP9036","Express","Delivered","2024-08-31","Fast"
"ORD10037",3,"2025-03-08","Valid",2025,3,"CUST1439","Jason Rhodes","esweeney@gmail.com","Other","1975-07-04","Regular","PROD1024","Hundred","Groceries",99.32,66.46,"Groceries",0.3308497784937576,0.6691502215062425,"High Price","E-wallet","Paid","2025-03-08","Digital",2025,"SHP9037","Standard","Delivered","2025-03-12","Normal"
"ORD10038",5,"2024-03-30","Valid",2024,3,"CUST1314","Richard Smith","smithsarah@allison.com","Other","1966-08-05","VIP","PROD1039","Girl","Clothing",99.32,66.46,"Clothing",0.3308497784937576,0.6691502215062425,"High Price","Cash","Paid","2024-04-02","Digital",2024,"SHP9038","Same Day","Delivered","2024-04-02","Fast"
"ORD10039",3,"2023-06-02","Valid",2023,6,"CUST1364","Tracy Burke","michael31@yahoo.com","Other","1973-12-31","VIP","PROD1023","Water","Clothing",99.32,66.46,"Clothing",0.3308497784937576,0.6691502215062425,"High Price","Credit Card","Paid","2023-06-03","Card",2023,"SHP9039","Express","Delivered","2023-06-06","Fast"
"ORD10040",4,"2025-01-06","Valid",2025,1,"CUST1453","Cynthia Vang","kelleyjacob@kim.biz","Female","1971-10-08","VIP","PROD1013","So","Books",99.32,66.46,"Books",0.3308497784937576,0.6691502215062425,"High Price","E-wallet","Paid","2025-01-09","Digital",2025,"SHP9040","Standard","Delivered","2025-01-09","Normal"
"ORD10041",3,"2023-05-07","Valid",2023,5,"CUST1228","Michael Bradshaw","fconner@stewart.org","Other","2001-02-03","Regular","PROD1025","Ten","Electronics",99.32,66.46,"Electronics",0.3308497784937576,0.6691502215062425,"High Price","Credit Card","Paid","2023-05-07","Card",2023,"SHP9041","Standard","Cancelled","2023-05-13","Normal"
"ORD10042",5,"2023-07-12","Valid",2023,7,"CUST1376","Glen Wood","robinsontony@gmail.com","Male","1985-04-13","Regular","PROD1037","Trade","Books",99.32,66.46,"Books",0.3308497784937576,0.6691502215062425,"High Price","Bank Transfer","Paid","2023-07-16","Bank",2023,"SHP9042","Express","Delivered","2023-07-17","Fast"
"ORD10043",1,"2024-09-18","Valid",2024,9,"CUST1288","Lisa Allen","barbaramoore@anderson.biz","Female","1995-09-11","Loyal","PROD1022","Home","Electronics",99.32,66.46,"Electronics",0.3308497784937576,0.6691502215062425,"High Price","Bank Transfer","Paid","2024-09-18","Bank",2024,"SHP9043","Same Day","Delivered","2024-09-21","Fast"
"ORD10044",5,"2025-02-12","Valid",2025,2,"CUST1436","Ralph Anderson","jenkinsmichael@hotmail.com","Other","2002-12-31","Regular","PROD1021","Future","Electronics",99.32,66.46,"Electronics",0.3308497784937576,0.6691502215062425,"High Price","E-wallet","Paid","2025-02-16","Digital",2025,"SHP9044","Standard","Delivered","2025-02-14","Normal"
"ORD10045",1,"2024-06-13","Valid",2024,6,"CUST1149","Stephanie Manning","ytaylor@wagner.biz","Male","1961-11-19","Loyal","PROD1047","Article","Clothing",99.32,66.46,"Clothing",0.3308497784937576,0.6691502215062425,"High Price","Bank Transfer","Paid","2024-06-16","Bank",2024,"SHP9045","Same Day","In Transit","2024-06-19","Fast"
"ORD10046",2,"2023-01-10","Valid",2023,1,"CUST1276","Wayne Morgan","racheltrujillo@powell.com","Other","1970-04-04","Regular","PROD1018","Better","Clothing",99.32,66.46,"Clothing",0.3308497784937576,0.6691502215062425,"High Price","Bank Transfer","Paid","2023-01-13","Bank",2023,"SHP9046","Express","Delivered","2023-01-12","Fast"
"ORD10047",5,"2023-04-02","Valid",2023,4,"CUST1197","Spencer Haynes","randolphandrew@reed.com","Other","1969-11-22","New","PROD1045","Determine","Books",99.32,66.46,"Books",0.3308497784937576,0.6691502215062425,"High Price","Cash","Paid","2023-04-02","Digital",2023,"SHP9047","Standard","Delivered","2023-04-08","Normal"
"ORD10048",5,"2023-05-19","Valid",2023,5,"CUST1069","William Baker","vegadorothy@hotmail.com","Male","1977-12-27","VIP","PROD1002","Feel","Groceries",99.32,66.46,"Groceries",0.3308497784937576,0.6691502215062425,"High Price","Cash","Paid","2023-05-19","Digital",2023,"SHP9048","Standard","Delivered","2023-05-25","Normal"
"ORD10049",4,"2024-04-25","Valid",2024,4,"CUST1111","Shannon Walker","llopez@hotmail.com","Female","1968-05-30","Loyal","PROD1041","Job","Clothing",99.32,66.46,"Clothing",0.3308497784937576,0.6691502215062425,"High Price","Bank Transfer","Paid","2024-04-27","Bank",2024,"SHP9049","Standard","Delivered","2024-04-28","Normal"
"ORD10050",3,"2024-03-24","Valid",2024,3,"CUST1003","Daniel Wagner","taylorcharles@roach.com","Other","1969-07-26","Loyal","PROD1018","Better","Clothing",99.32,66.46,"Clothing",0.3308497784937576,0.6691502215062425,"High Price","Bank Transfer","Paid","2024-03-28","Bank",2024,"SHP9050","Same Day","Delivered","2024-03-29","Fast"
"ORD10051",1,"2023-11-29","Valid",2023,11,"CUST1349","Theodore Jones Jr.","vaughangary@hotmail.com","Other","1981-06-18","Regular","PROD1008","Page","Groceries",99.32,66.46,"Groceries",0.3308497784937576,0.6691502215062425,"High Price","Cash","Paid","2023-12-01","Digital",2023,"SHP9051","Standard","Delivered","2023-12-04","Normal"
"ORD10052",1,"2025-05-18","Valid",2025,5,"CUST1330","Vanessa Howard","glenda22@daniels.com","Male","1975-11-02","Regular","PROD1027","Son","Beauty",99.32,66.46,"Beauty",0.3308497784937576,0.6691502215062425,"High Price","Bank Transfer","Paid","2025-05-19","Bank",2025,"SHP9052","Standard","Delivered","2025-05-19","Normal"
"ORD10053",4,"2023-12-06","Valid",2023,12,"CUST1445","Tracy Montoya","johnmitchell@hotmail.com","Male","1997-03-04","New","PROD1019","Special","Electronics",99.32,66.46,"Electronics",0.3308497784937576,0.6691502215062425,"High Price","Bank Transfer","Paid","2023-12-07","Bank",2023,"SHP9053","Express","Delivered","2023-12-11","Fast"
"ORD10054",4,"2023-02-21","Valid",2023,2,"CUST1317","Ashley Hall","hwest@mcgee-smith.biz","Female","1987-11-19","VIP","PROD1044","Safe","Books",99.32,66.46,"Books",0.3308497784937576,0.6691502215062425,"High Price","Credit Card","Paid","2023-02-21","Card",2023,"SHP9054","Standard","Failed","2023-02-25","Normal"
"ORD10055",3,"2024-12-07","Valid",2024,12,"CUST1349","Theodore Jones Jr.","vaughangary@hotmail.com","Other","1981-06-18","Regular","PROD1006","Scene","Books",99.32,66.46,"Books",0.3308497784937576,0.6691502215062425,"High Price","Bank Transfer","Paid","2024-12-10","Bank",2024,"SHP9055","Same Day","Delivered","2024-12-10","Fast"
"ORD10056",3,"2024-04-10","Valid",2024,4,"CUST1094","John Whitehead","jenniferfreeman@mooney.com","Male","1971-01-30","New","PROD1013","So","Books",99.32,66.46,"Books",0.3308497784937576,0.6691502215062425,"High Price","E-wallet","Paid","2024-04-11","Digital",2024,"SHP9056","Express","Delivered","2024-04-12","Fast"
"ORD10057",5,"2024-12-18","Valid",2024,12,"CUST1151","Pamela Boyd","antonio38@jackson-ellis.info","Male","1974-06-13","Regular","PROD1008","Page","Groceries",99.32,66.46,"Groceries",0.3308497784937576,0.6691502215062425,"High Price","Credit Card","Paid","2024-12-19","Card",2024,"SHP9057","Express","Delivered","2024-12-23","Fast"
"ORD10058",2,"2025-03-09","Valid",2025,3,"CUST1310","Dr. Paul Morgan","perrybrittany@gregory.com","Male","1968-05-06","VIP","PROD1018","Better","Clothing",99.32,66.46,"Clothing",0.3308497784937576,0.6691502215062425,"High Price","E-wallet","Paid","2025-03-11","Digital",2025,"SHP9058","Standard","Delivered","2025-03-11","Normal"
"ORD10059",3,"2024-04-19","Valid",2024,4,"CUST1136","Robert Potter","larry73@webb.info","Female","1996-08-05","New","PROD1046","Population","Clothing",99.32,66.46,"Clothing",0.3308497784937576,0.6691502215062425,"High Price","Bank Transfer","Paid","2024-04-21","Bank",2024,"SHP9059","Express","Delivered","2024-04-20","Fast"
"ORD10060",4,"2024-02-05","Valid",2024,2,"CUST1246","Krista Gibson","millermaurice@gutierrez.com","Other","2003-07-02","VIP","PROD1013","So","Books",99.32,66.46,"Books",0.3308497784937576,0.6691502215062425,"High Price","Cash","Pending","2024-02-06","Digital",2024,"SHP9060","Standard","Delivered","2024-02-08","Normal"
"ORD10061",3,"2024-03-14","Valid",2024,3,"CUST1386","Adam Burgess","crystalwilliams@thomas.net","Other","1963-10-02","New","PROD1037","Trade","Books",99.32,66.46,"Books",0.3308497784937576,0.6691502215062425,"High Price","Credit Card","Paid","2024-03-14","Card",2024,"SHP9061","Express","Delivered","2024-03-19","Fast"
"ORD10062",1,"2025-05-27","Valid",2025,5,"CUST1242","Kevin Walters","bgonzalez@gmail.com","Other","1976-02-24","Loyal","PROD1035","Campaign","Books",99.32,66.46,"Books",0.3308497784937576,0.6691502215062425,"High Price","Cash","Paid","2025-05-29","Digital",2025,"SHP9062","Same Day","Delivered","2025-05-29","Fast"
"ORD10063",2,"2024-08-27","Valid",2024,8,"CUST1030","Rebecca Henderson","cporter@taylor.info","Female","1960-05-01","Regular","PROD1039","Girl","Clothing",99.32,66.46,"Clothing",0.3308497784937576,0.6691502215062425,"High Price","Credit Card","Paid","2024-08-28","Card",2024,"SHP9063","Standard","Delivered","2024-09-02","Normal"
"ORD10064",5,"2025-03-31","Valid",2025,3,"CUST1039","Brittany Farmer","ufox@gmail.com","Other","1987-04-09","New","PROD1016","Word","Books",99.32,66.46,"Books",0.3308497784937576,0.6691502215062425,"High Price","Cash","Paid","2025-04-03","Digital",2025,"SHP9064","Same Day","Delivered","2025-04-05","Fast"
"ORD10065",1,"2024-10-18","Valid",2024,10,"CUST1228","Michael Bradshaw","fconner@stewart.org","Other","2001-02-03","Regular","PROD1029","Threat","Electronics",99.32,66.46,"Electronics",0.3308497784937576,0.6691502215062425,"High Price","Credit Card","Paid","2024-10-20","Card",2024,"SHP9065","Standard","Delivered","2024-10-19","Normal"
"ORD10066",1,"2024-08-20","Valid",2024,8,"CUST1035","Jeffrey Chavez","tammy99@gmail.com","Female","2002-01-12","VIP","PROD1008","Page","Groceries",99.32,66.46,"Groceries",0.3308497784937576,0.6691502215062425,"High Price","Credit Card","Failed","2024-08-21","Card",2024,"SHP9066","Same Day","Delivered","2024-08-26","Fast"
"ORD10067",2,"2024-05-23","Valid",2024,5,"CUST1407","Jeremy Turner","bowerswilliam@hall.com","Female","1962-12-13","Loyal","PROD1032","Final","Beauty",99.32,66.46,"Beauty",0.3308497784937576,0.6691502215062425,"High Price","E-wallet","Paid","2024-05-27","Digital",2024,"SHP9067","Same Day","Delivered","2024-05-25","Fast"
"ORD10068",5,"2023-06-02","Valid",2023,6,"CUST1222","Elizabeth Oliver Dds","brittanydrake@howard.com","Female","1963-07-06","New","PROD1024","Hundred","Groceries",99.32,66.46,"Groceries",0.3308497784937576,0.6691502215062425,"High Price","Cash","Paid","2023-06-04","Digital",2023,"SHP9068","Express","In Transit","2023-06-04","Fast"
"ORD10069",4,"2024-05-28","Valid",2024,5,"CUST1005","Connie Lawrence","jenniferho@hotmail.com","Male","1957-12-24","VIP","PROD1013","So","Books",99.32,66.46,"Books",0.3308497784937576,0.6691502215062425,"High Price","E-wallet","Paid","2024-06-01","Digital",2024,"SHP9069","Standard","In Transit","2024-05-31","Normal"
"ORD10070",5,"2024-05-17","Valid",2024,5,"CUST1321","Charles Shah","jennifer11@hotmail.com","Other","1971-05-03","New","PROD1010","Or","Groceries",99.32,66.46,"Groceries",0.3308497784937576,0.6691502215062425,"High Price","E-wallet","Paid","2024-05-19","Digital",2024,"SHP9070","Express","Delivered","2024-05-20","Fast"
"ORD10071",3,"2025-05-03","Valid",2025,5,"CUST1467","William Jones","cynthianguyen@bauer.com","Female","1985-06-02","VIP","PROD1034","Center","Beauty",99.32,66.46,"Beauty",0.3308497784937576,0.6691502215062425,"High Price","Cash","Pending","2025-05-05","Digital",2025,"SHP9071","Same Day","Delivered","2025-05-05","Fast"
"ORD10072",1,"2025-06-19","Valid",2025,6,"CUST1219","Bailey Duran Dds","huangkimberly@stokes.net","Male","1976-12-13","Loyal","PROD1040","New","Clothing",99.32,66.46,"Clothing",0.3308497784937576,0.6691502215062425,"High Price","Credit Card","Paid","2025-06-23","Card",2025,"SHP9072","Standard","Delivered","2025-06-25","Normal"
"ORD10073",3,"2025-02-10","Valid",2025,2,"CUST1074","Amy Silva","wheelersean@warner.biz","Female","1975-04-15","VIP","PROD1013","So","Books",99.32,66.46,"Books",0.3308497784937576,0.6691502215062425,"High Price","E-wallet","Paid","2025-02-10","Digital",2025,"SHP9073","Same Day","Delivered","2025-02-13","Fast"
"ORD10074",4,"2024-11-06","Valid",2024,11,"CUST1003","Daniel Wagner","taylorcharles@roach.com","Other","1969-07-26","Loyal","PROD1029","Threat","Electronics",99.32,66.46,"Electronics",0.3308497784937576,0.6691502215062425,"High Price","Cash","Paid","2024-11-07","Digital",2024,"SHP9074","Same Day","Cancelled","2024-11-08","Fast"
"ORD10075",3,"2023-01-06","Valid",2023,1,"CUST1334","Dana Martinez","vaughnkenneth@johnson.net","Other","1993-06-18","New","PROD1040","New","Clothing",99.32,66.46,"Clothing",0.3308497784937576,0.6691502215062425,"High Price","Credit Card","Paid","2023-01-06","Card",2023,"SHP9075","Same Day","Delivered","2023-01-12","Fast"
"ORD10076",5,"2024-05-14","Valid",2024,5,"CUST1133","Daniel Kennedy","tammy61@gmail.com","Female","1973-11-14","VIP","PROD1003","Popular","Groceries",99.32,66.46,"Groceries",0.3308497784937576,0.6691502215062425,"High Price","E-wallet","Paid","2024-05-14","Digital",2024,"SHP9076","Same Day","Delivered","2024-05-18","Fast"
"ORD10077",3,"2024-10-22","Valid",2024,10,"CUST1117","Ashley Waller","ashleyjackson@jackson-adams.com","Other","1987-05-31","New","PROD1003","Popular","Groceries",99.32,66.46,"Groceries",0.3308497784937576,0.6691502215062425,"High Price","E-wallet","Paid","2024-10-23","Digital",2024,"SHP9077","Express","In Transit","2024-10-27","Fast"
"ORD10078",4,"2024-12-17","Valid",2024,12,"CUST1368","Renee Bruce","xgriffin@yahoo.com","Female","1974-07-30","Regular","PROD1027","Son","Beauty",99.32,66.46,"Beauty",0.3308497784937576,0.6691502215062425,"High Price","E-wallet","Paid","2024-12-20","Digital",2024,"SHP9078","Same Day","Delivered","2024-12-21","Fast"
"ORD10079",4,"2023-04-28","Valid",2023,4,"CUST1093","Christina Walters","yjackson@yahoo.com","Other","1958-04-03","Loyal","PROD1007","Physical","Groceries",99.32,66.46,"Groceries",0.3308497784937576,0.6691502215062425,"High Price","Credit Card","Paid","2023-04-28","Card",2023,"SHP9079","Express","Delivered","2023-05-02","Fast"
