"order_id","customer_id","product_id","order_date","quantity","amount_cleaned","name","email","gender","birthdate","payment_id","payment_method","payment_status","payment_date","product_name","category","price_formatted","shipping_id","shipping_method","shipping_date","shipping_status","status"
"ORD10043","CUST1168","PROD1005","2025-06-10",3,"$260.15","Joel Williams","kwright@yahoo.com","Female","1999-07-29","N/A","N/A","N/A","N/A","Kind","Beauty","$147.16","N/A","N/A",,"N/A","N/A"
"ORD10044","CUST1023","PROD1048","2024-10-11",2,"$338.03 ","Tommy Walter","zroberts@hotmail.com","Male","1976-11-08","PAY10114","E-Wallet","Pending","2025-06-24","Remember","Beauty","$201.94","SHP10379","Standard","2025-07-16","Delivered","Success"
"ORD10045","CUST1050","PROD1009","2024-11-09",1,"$27.88","Jessica Holmes","erica21@lucas.org","N/A","1970-08-15","PAY10404","E-Wallet","Pending","2025-02-16","Use","Clothing","$112.75","N/A","N/A",,"N/A","N/A"
"ORD10046","CUST1156","PROD1049","2025-06-14",1,"$230.43 ","Joshua Perry","teresaday@owens-holmes.com","Female","2006-08-27","N/A","N/A","N/A","N/A","Tell","Clothing","$151.13","SHP10079","Express","2025-07-16","Delivered","Success"
"ORD10047","CUST1183","PROD1044","2025-04-16",4,"$249.72 ","Ashley Barton","ojackson@harvey.com","N/A","1956-02-02","N/A","N/A","N/A","N/A","From","Electronics","$92.72","SHP10103","Pickup","2025-07-16","Pending","Waiting"
"ORD10048","CUST1037","PROD1041","2024-09-10",1,"$446.87","Cassandra Gaines","harrisontanya@hanson-sanders.com","N/A","1984-12-09","N/A","N/A","N/A","N/A","Whom","Electronics","$123.22","SHP10246","Express","2025-07-16","In Transit","Shipping"
"ORD10049","CUST1199","PROD1027","2025-05-24",2,"$92.06","Nathan Freeman","melissamcdonald@gmail.com","Male","2003-11-17","N/A","N/A","N/A","N/A","Interest","Clothing","$258.23","SHP10119","Pickup","2025-07-16","In Transit","Shipping"
"ORD10050","CUST1012","PROD1035","2025-01-11",2,"$459.15","Lisa Hensley","ashley09@hotmail.com","N/A","1974-08-13","PAY10348","Bank Transfer","Pending","2025-02-13","Arrive","Groceries","$127.86","N/A","N/A",,"N/A","N/A"
"ORD10051","CUST1116","PROD1008","2025-07-06",4,"$335.45","William Herrera","romeroamber@hotmail.com","Female","1987-10-21","PAY10326","Credit Card","Completed","2024-10-05","Would","Clothing","$201.1","SHP10006","Standard","2025-07-16","Pending","Waiting"
"ORD10052","CUST1193","PROD1028","2024-08-07",5,"$408.43","Angelica Keith","danielyang@gmail.com","Female","1971-05-20","N/A","N/A","N/A","N/A","Leg","Clothing","$38.39","SHP10306","Express","2025-07-16","In Transit","Shipping"
"ORD10053","CUST1140","PROD1028","2025-02-19",2,"$373.11","Cheyenne Horton","acostachristian@hotmail.com","Female","1959-07-06","N/A","N/A","N/A","N/A","Leg","Clothing","$38.39","N/A","N/A",,"N/A","N/A"
"ORD10054","CUST1115","PROD1016","2024-12-23",2,"$420.73","Diana May","jeremytaylor@gmail.com","N/A","1994-03-23","PAY10461","Cash","Completed","2024-09-26","Phone","Beauty","$221.18","SHP10205","Pickup","2025-07-16","Pending","Waiting"
"ORD10055","CUST1196","PROD1049","2024-12-24",5,"$244.88 ","Daniel Salinas","manuel01@andrews.com","Male","1965-02-04","PAY10313","Credit Card","Completed","2025-03-20","Tell","Clothing","$151.13","SHP10049","Express","2025-07-16","In Transit","Shipping"
"ORD10056","CUST1070","PROD1028","2025-02-17",1,"$358.2 ","Jordan Henderson","xwest@wheeler.org","Male","1969-06-14","N/A","N/A","N/A","N/A","Leg","Clothing","$38.39","N/A","N/A",,"N/A","N/A"
"ORD10057","CUST1069","PROD1021","2025-02-06",3,"$447.05","William Baker","martinezrobert@gmail.com","N/A","1969-07-27","PAY10296","Credit Card","Failed","2025-07-08","Score","Beauty","$50.65","SHP10207","Express","2025-07-16","Pending","Waiting"
"ORD10058","CUST1035","PROD1009","2024-09-06",2,"$194.6 ","Jeffrey Chavez","sawyerscott@hotmail.com","Male","1980-08-22","N/A","N/A","N/A","N/A","Use","Clothing","$112.75","N/A","N/A",,"N/A","N/A"
"ORD10059","CUST1180","PROD1013","2024-12-13",1,"$210.36","Alexander Collins","terickson@yahoo.com","N/A","1969-09-10","PAY10155","Cash","Pending","2024-10-14","Design","Books","$199.5","N/A","N/A",,"N/A","N/A"
"ORD10060","CUST1138","PROD1029","2024-10-18",4,"$35.82","David Alvarez","joshua56@paul-kline.biz","Male","1969-05-14","N/A","N/A","N/A","N/A","East","Electronics","$199.12","N/A","N/A",,"N/A","N/A"
"ORD10061","CUST1099","PROD1049","2024-10-23",5,"$473.3","Stephen Mckee","kathleenrios@bean.info","Female","1962-03-05","PAY10019","Credit Card","Failed","2025-06-12","Tell","Clothing","$151.13","N/A","N/A",,"N/A","N/A"
"ORD10062","CUST1195","PROD1036","2024-10-02",4,"$241.1","Allen Rosales","adampierce@russell.info","Male","1978-02-04","PAY10147","E-Wallet","Failed","2024-11-02","Challenge","Clothing","$149.59","N/A","N/A",,"N/A","N/A"
"ORD10063","CUST1076","PROD1048","2024-11-21",4,"$427.46","Angela Lopez","ronald45@mcdaniel.com","Female","1995-10-05","PAY10001","Cash","Completed","2025-06-05","Remember","Beauty","$201.94","SHP10217","Standard","2025-07-16","Pending","Waiting"
"ORD10064","CUST1137","PROD1047","2025-03-24",5,"$400.93 ","Courtney Gonzalez","benjamin34@yahoo.com","Male","2005-04-17","PAY10092","E-Wallet","Completed","2025-06-24","Spring","Books","$237.17","SHP10445","Express","2025-07-16","Delivered","Success"
"ORD10065","CUST1124","PROD1014","2024-08-15",3,"$220.74","Helen Jones","lisawilkerson@perry.net","Female","1982-10-23","PAY10026","Bank Transfer","Pending","2025-01-11","Audience","Groceries","$197.39","SHP10036","Express","2025-07-16","Pending","Waiting"
"ORD10066","CUST1099","PROD1021","2025-07-09",4,"$363.47","Stephen Mckee","kathleenrios@bean.info","Female","1962-03-05","N/A","N/A","N/A","N/A","Score","Beauty","$50.65","SHP10211","Standard","2025-07-16","Pending","Waiting"
"ORD10067","CUST1032","PROD1039","2025-01-06",5,"$18.35","Tricia Valencia","mcantu@hotmail.com","Female","1971-06-03","PAY10153","Cash","Failed","2025-05-09","East","Electronics","$57.74","SHP10393","Standard","2025-07-16","Delivered","Success"
"ORD10068","CUST1151","PROD1036","2025-06-09",1,"$46.55","Pamela Boyd","jenna88@yahoo.com","Female","1974-01-28","PAY10113","Bank Transfer","Completed","2025-03-22","Challenge","Clothing","$149.59","N/A","N/A",,"N/A","N/A"
"ORD10069","CUST1034","PROD1029","2024-12-07",2,"$29.89","Debra Davidson","tylerjohnson@hotmail.com","Female","1972-04-14","N/A","N/A","N/A","N/A","East","Electronics","$199.12","SHP10325","Express","2025-07-16","Pending","Waiting"
"ORD10070","CUST1083","PROD1013","2024-08-20",4,"$166.79","Paul Jones","adam29@hotmail.com","Male","1991-02-13","PAY10068","Bank Transfer","Pending","2024-08-01","Design","Books","$199.5","N/A","N/A",,"N/A","N/A"
"ORD10071","CUST1071","PROD1048","2025-02-09",4,"$129.87","Whitney Peters","stephen00@boone-simmons.com","Female","1963-08-18","N/A","N/A","N/A","N/A","Remember","Beauty","$201.94","N/A","N/A",,"N/A","N/A"
"ORD10072","CUST1120","PROD1001","2025-04-23",5,"$30.78","Larry Dixon","xhammond@yahoo.com","Female","1958-04-29","PAY10161","Bank Transfer","Completed","2024-10-27","Budget","Clothing","$219.77","SHP10425","Pickup","2025-07-16","In Transit","Shipping"
"ORD10073","CUST1057","PROD1041","2025-06-03",1,"$391.71","Richard Aguirre","thomasharvey@murphy.info","Female","1982-02-16","PAY10375","E-Wallet","Failed","2024-12-08","Whom","Electronics","$123.22","SHP10409","Standard","2025-07-16","Delivered","Success"
"ORD10074","CUST1193","PROD1001","2024-09-27",2,"$103.68","Angelica Keith","danielyang@gmail.com","Female","1971-05-20","N/A","N/A","N/A","N/A","Budget","Clothing","$219.77","SHP10317","Express","2025-07-16","Pending","Waiting"
"ORD10075","CUST1159","PROD1009","2024-08-05",2,"$67.48","Jamie Smith","meghan43@hotmail.com","N/A","1998-06-29","N/A","N/A","N/A","N/A","Use","Clothing","$112.75","SHP10419","Standard","2025-07-16","Pending","Waiting"
"ORD10076","CUST1144","PROD1013","2024-10-28",4,"$351.24","Amber Wright","thomascathy@johnson-jones.com","Male","2002-03-15","N/A","N/A","N/A","N/A","Design","Books","$199.5","SHP10281","Pickup","2025-07-16","Pending","Waiting"
"ORD10077","CUST1042","PROD1038","2024-12-09",5,"$482.05","Sherry Decker","ryan38@yahoo.com","Male","1994-03-06","N/A","N/A","N/A","N/A","Figure","Electronics","$271.71","N/A","N/A",,"N/A","N/A"
"ORD10078","CUST1199","PROD1010","2025-04-03",3,"$58.51","Nathan Freeman","melissamcdonald@gmail.com","Male","2003-11-17","N/A","N/A","N/A","N/A","Visit","Beauty","$129.22","N/A","N/A",,"N/A","N/A"
"ORD10079","CUST1079","PROD1036","2025-03-07",4,"$201.34 ","Lisa Barnes","caroline51@romero.com","Female","2002-04-22","PAY10163","Credit Card","Failed","2025-05-29","Challenge","Clothing","$149.59","N/A","N/A",,"N/A","N/A"
"ORD10080","CUST1019","PROD1037","2025-03-07",2,"$55.44","Carla Gray","cassandra01@gmail.com","Male","1998-01-02","PAY10294","E-Wallet","Failed","2025-03-06","Most","Electronics","$260.75","SHP10014","Pickup","2025-07-16","In Transit","Shipping"
"ORD10081","CUST1175","PROD1038","2024-07-31",1,"$399.13","Alex Hernandez","michaelroberts@gordon-duran.com","Female","1991-02-06","PAY10144","Credit Card","Pending","2025-06-28","Figure","Electronics","$271.71","N/A","N/A",,"N/A","N/A"
"ORD10082","CUST1088","PROD1034","2025-06-20",4,"$332.45","Lisa Archer","reeddaniel@gregory.com","N/A","2000-11-01","N/A","N/A","N/A","N/A","Stand","Clothing","$78.55","N/A","N/A",,"N/A","N/A"
"ORD10083","CUST1129","PROD1041","2024-08-13",3,"$11.26","Megan Orr","parsonsjohn@gmail.com","N/A","1986-01-02","N/A","N/A","N/A","N/A","Whom","Electronics","$123.22","N/A","N/A",,"N/A","N/A"
"ORD10084","CUST1125","PROD1006","2024-09-27",4,"$480.59","Erin Edwards","paulmiller@gmail.com","Male","1985-08-16","PAY10344","Cash","Failed","2025-01-23","Possible","Electronics","$128.05","SHP10385","Express","2025-07-16","In Transit","Shipping"
"ORD10085","CUST1181","PROD1009","2025-05-24",4,"$92.19","Tina Sanders","mark16@parker.com","Female","1954-10-11","N/A","N/A","N/A","N/A","Use","Clothing","$112.75","N/A","N/A",,"N/A","N/A"
"ORD10086","CUST1157","PROD1034","2025-05-07",4,"$235.11","Jason Stein","ryanbartlett@guerra.com","N/A","1998-03-13","N/A","N/A","N/A","N/A","Stand","Clothing","$78.55","N/A","N/A",,"N/A","N/A"
"ORD10087","CUST1082","PROD1015","2025-03-01",1,"$143.07","Michael Evans","whitejacqueline@yahoo.com","Female","2006-01-29","PAY10352","Credit Card","Failed","2025-01-18","Blood","Groceries","$27.58","SHP10499","Pickup","2025-07-16","Delivered","Success"
"ORD10088","CUST1062","PROD1048","2025-04-23",4,"$287.08","Connor West","jeff73@garcia-jennings.net","N/A","1975-09-14","N/A","N/A","N/A","N/A","Remember","Beauty","$201.94","SHP10460","Standard","2025-07-16","Delivered","Success"
"ORD10089","CUST1086","PROD1001","2025-04-02",4,"$426.22 ","Shirley Suarez","moorekaren@craig.info","N/A","2006-05-21","N/A","N/A","N/A","N/A","Budget","Clothing","$219.77","SHP10418","Express","2025-07-16","In Transit","Shipping"
"ORD10090","CUST1124","PROD1013","2025-02-18",3,"$399.93","Helen Jones","lisawilkerson@perry.net","Female","1982-10-23","PAY10486","Credit Card","Completed","2024-10-12","Design","Books","$199.5","SHP10019","Pickup","2025-07-16","Delivered","Success"
"ORD10091","CUST1071","PROD1038","2024-10-08",3,"$280.12 ","Whitney Peters","stephen00@boone-simmons.com","Female","1963-08-18","PAY10009","Credit Card","Completed","2024-12-16","Figure","Electronics","$271.71","N/A","N/A",,"N/A","N/A"
"ORD10092","CUST1021","PROD1015","2025-01-18",4,"$246.85 ","Patty Perez","ecosta@yahoo.com","N/A","1983-08-24","PAY10335","Credit Card","Pending","2024-07-16","Blood","Groceries","$27.58","N/A","N/A",,"N/A","N/A"
"ORD10093","CUST1176","PROD1030","2024-10-05",4,"$226.85","Michael Elliott","theresalong@grant-diaz.com","N/A","1981-04-15","PAY10013","Bank Transfer","Pending","2024-11-09","Notice","Books","$166.77","SHP10035","Express","2025-07-16","Delivered","Success"
"ORD10094","CUST1023","PROD1018","2025-06-18",2,"$205.18 ","Tommy Walter","zroberts@hotmail.com","Male","1976-11-08","PAY10270","E-Wallet","Completed","2025-05-17","Likely","Groceries","$41.69","SHP10333","Express","2025-07-16","Delivered","Success"
"ORD10095","CUST1078","PROD1042","2025-07-03",5,"$187.67","Steve Sanchez","jenkinsmorgan@yahoo.com","N/A","1982-11-02","N/A","N/A","N/A","N/A","Sign","Electronics","$278.69","N/A","N/A",,"N/A","N/A"
"ORD10096","CUST1108","PROD1047","2024-11-22",5,"$168.74","Evelyn Galvan","benjaminzimmerman@warren-bishop.com","Male","1976-11-13","PAY10257","Bank Transfer","Pending","2025-01-01","Spring","Books","$237.17","N/A","N/A",,"N/A","N/A"
"ORD10097","CUST1069","PROD1019","2024-11-10",3,"$119.12 ","William Baker","martinezrobert@gmail.com","N/A","1969-07-27","PAY10286","Bank Transfer","Failed","2025-04-14","Piece","Clothing","$65.56","N/A","N/A",,"N/A","N/A"
"ORD10098","CUST1080","PROD1007","2025-07-04",5,"$475.68 ","Kelly Donovan","danny49@gmail.com","Male","1991-12-01","PAY10110","E-Wallet","Pending","2024-09-07","Space","Groceries","$37.35","SHP10386","Pickup","2025-07-16","Pending","Waiting"
"ORD10099","CUST1049","PROD1013","2024-07-21",4,"$141.87","Eric Carney","swall@lawson.com","Female","2001-09-06","PAY10166","Credit Card","Pending","2025-04-28","Design","Books","$199.5","SHP10064","Express","2025-07-16","In Transit","Shipping"
"ORD10100","CUST1025","PROD1012","2024-10-06",3,"$117.6 ","Judy Baker","mgutierrez@cox.com","Male","1981-10-25","N/A","N/A","N/A","N/A","Effect","Clothing","$25.71","N/A","N/A",,"N/A","N/A"
"ORD10101","CUST1077","PROD1000","2025-07-14",5,"$67.66","Megan Young","daviscolin@watson.net","Female","1979-12-19","PAY10481","Credit Card","Completed","2025-05-25","Southern","Electronics","$166.38","N/A","N/A",,"N/A","N/A"
"ORD10102","CUST1013","PROD1035","2024-09-27",3,"$350.22 ","Michele Williams","colleenbaker@moore.net","Male","1993-03-06","N/A","N/A","N/A","N/A","Arrive","Groceries","$127.86","N/A","N/A",,"N/A","N/A"
"ORD10103","CUST1163","PROD1048","2025-04-29",4,"$55.78","Jeffrey Johnson","ismall@may-turner.com","N/A","1985-01-23","PAY10167","Bank Transfer","Failed","2024-08-06","Remember","Beauty","$201.94","N/A","N/A",,"N/A","N/A"
"ORD10104","CUST1146","PROD1018","2024-08-30",4,"$241.96","Victoria Larson","xrush@hines-berry.net","Male","1991-05-14","N/A","N/A","N/A","N/A","Likely","Groceries","$41.69","SHP10227","Pickup","2025-07-16","Delivered","Success"
"ORD10105","CUST1047","PROD1003","2025-05-02",3,"$470.83","Shane Henderson","gcastaneda@james.org","Male","1999-01-09","N/A","N/A","N/A","N/A","Table","Electronics","$177.1","SHP10028","Pickup","2025-07-16","Pending","Waiting"
"ORD10106","CUST1029","PROD1004","2025-05-04",4,"$248.41","Anthony Rodriguez","yarnold@weeks.com","N/A","1964-02-09","PAY10195","Credit Card","Completed","2024-09-09","Recent","Electronics","$80.47","SHP10132","Standard","2025-07-16","Pending","Waiting"
"ORD10107","CUST1038","PROD1009","2025-01-17",5,"$474.82","Elizabeth Fowler","ofinley@hotmail.com","Female","2005-10-31","N/A","N/A","N/A","N/A","Use","Clothing","$112.75","N/A","N/A",,"N/A","N/A"
"ORD10108","CUST1063","PROD1007","2025-07-06",5,"$383.4 ","Donald Wright","sandersjames@gmail.com","Female","2001-07-07","PAY10185","Credit Card","Failed","2025-04-12","Space","Groceries","$37.35","SHP10078","Express","2025-07-16","Pending","Waiting"
"ORD10109","CUST1198","PROD1033","2024-10-18",4,"$228.0","Adam Vaughan","nancy04@morrison.info","Female","1967-05-14","PAY10119","Cash","Completed","2025-05-23","Treat","Groceries","$228.53","SHP10087","Pickup","2025-07-16","Pending","Waiting"
"ORD10110","CUST1076","PROD1037","2025-04-12",4,"$156.16","Angela Lopez","ronald45@mcdaniel.com","Female","1995-10-05","PAY10472","Bank Transfer","Pending","2024-08-08","Most","Electronics","$260.75","SHP10100","Pickup","2025-07-16","In Transit","Shipping"
"ORD10111","CUST1156","PROD1047","2025-03-07",1,"$474.06 ","Joshua Perry","teresaday@owens-holmes.com","Female","2006-08-27","N/A","N/A","N/A","N/A","Spring","Books","$237.17","N/A","N/A",,"N/A","N/A"
"ORD10112","CUST1160","PROD1013","2025-04-15",3,"$331.91 ","Paul Castaneda","colleenmendez@gmail.com","N/A","1983-02-23","N/A","N/A","N/A","N/A","Design","Books","$199.5","N/A","N/A",,"N/A","N/A"
